,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
6,Kapaa,40,US,1580002966,74,22.08,-159.32,80.6,10.29
7,Nagar Karnul,6,IN,1580003262,61,16.48,78.32,72.37,3.94
9,Baker City,90,US,1580003262,80,44.77,-117.83,41.0,4.7
10,Sao Filipe,21,CV,1580003262,63,14.9,-24.5,73.94,18.75
12,Nikolskoye,40,RU,1580003262,79,59.7,30.79,30.99,4.47
16,Silver City,1,US,1580003263,56,32.77,-108.28,48.99,9.17
18,Severo-Kuril'sk,100,RU,1580003263,92,50.68,156.12,18.86,40.24
19,Jalu,43,LY,1580003224,46,29.03,21.55,50.99,9.4
22,Egvekinot,67,RU,1580003263,89,66.32,-179.17,-5.75,4.85
25,Cherskiy,100,RU,1580003264,96,68.75,161.3,-17.93,2.71
27,Aden,69,YE,1580003264,77,12.78,45.04,76.86,7.23
28,Albany,90,US,1580003128,93,42.6,-73.97,39.99,6.93
29,Galway,75,IE,1580003264,87,53.27,-9.05,48.2,11.41
31,Darhan,22,MN,1580003265,83,49.49,105.92,7.25,4.29
32,Awjilah,43,LY,1580003265,46,29.11,21.29,50.99,9.4
33,Dikson,100,RU,1580003265,95,73.51,80.55,-5.84,5.39
35,Lesnoy,88,RU,1580003265,96,57.62,63.08,7.61,7.2
37,Linjiang,0,CN,1580003265,70,41.81,126.91,21.92,3.06
38,Tuktoyaktuk,90,CA,1580003057,75,69.45,-133.04,-13.0,23.04
39,Talnakh,75,RU,1580003265,84,69.49,88.4,3.2,11.18
42,Sept-Iles,75,CA,1580003170,72,50.2,-66.38,16.0,4.7
43,Upata,100,VE,1580003266,90,8.01,-62.4,69.33,5.75
44,Hong Kong,40,HK,1580003100,93,22.29,114.16,60.01,16.11
45,Tokur,100,RU,1580002975,93,53.13,132.9,-11.31,3.04
46,Santa Marta de Tormes,75,ES,1580003266,93,40.95,-5.63,39.0,3.36
48,Port Blair,78,IN,1580003080,70,11.67,92.75,77.85,13.78
49,Luan,19,CH,1580003267,92,46.36,6.98,37.0,1.12
50,Mount Pleasant,1,US,1580003267,57,32.79,-79.86,52.0,5.82
52,Dhidhdhoo,100,MV,1580003267,65,6.88,73.1,82.02,4.36
53,Yellowknife,90,CA,1580003267,85,62.46,-114.35,10.4,6.93
54,Liberal,1,US,1580003267,74,37.04,-100.92,48.2,4.7
55,Hilo,90,US,1580003087,57,19.73,-155.09,80.6,4.7
56,San Patricio,75,MX,1580003268,78,19.22,-104.7,78.8,6.93
57,Vardo,100,NO,1580003268,70,70.37,31.11,24.26,32.32
58,Iralaya,92,HN,1580003268,65,15.0,-83.23,78.22,15.64
59,Iqaluit,5,CA,1580003268,60,63.75,-68.51,-27.0,6.93
61,Neryungri,70,RU,1580003268,90,56.67,124.65,1.4,1.34
62,Qaanaaq,55,GL,1580003052,43,77.48,-69.36,-12.03,4.43
63,Upernavik,100,GL,1580003055,94,72.79,-56.15,-14.24,7.61
65,Salalah,75,OM,1580002983,78,17.02,54.09,77.0,4.7
67,Saint George's,76,GD,1580003037,79,12.06,-61.75,79.21,11.9
68,Chokurdakh,100,RU,1580003269,86,70.63,147.92,-22.23,5.99
69,Emporia,1,US,1580003269,82,38.4,-96.18,35.6,3.36
71,Shadegan,90,IR,1580003270,93,30.65,48.66,50.0,16.11
72,Naron,52,ES,1580003270,100,43.52,-8.15,46.99,6.93
73,Oued Meliz,40,TN,1580003270,86,36.47,8.55,46.4,1.12
74,Kattivakkam,20,IN,1580003270,94,13.22,80.32,72.0,5.12
76,Barrow,20,US,1580003093,75,71.29,-156.79,-20.2,8.05
78,Haemeenlinna,100,FI,1580003271,83,61.0,24.46,35.01,9.17
80,Pangnirtung,100,CA,1580003271,99,66.15,-65.71,-36.89,2.98
81,Kogon,40,UZ,1580003271,86,39.72,64.55,30.2,4.7
82,Mehamn,100,NO,1580003271,76,71.04,27.85,18.21,20.45
83,Shingu,75,JP,1580003271,93,33.73,135.98,48.2,4.7
86,Yaguajay,0,CU,1580003272,71,22.33,-79.24,74.17,9.71
87,Thompson,90,CA,1580003053,92,55.74,-97.86,15.8,4.56
88,Namtsy,90,RU,1580003272,55,62.72,129.67,-54.4,2.24
90,Tooele,90,US,1580003272,100,40.53,-112.3,39.99,4.7
91,Kutum,0,SD,1580003272,42,14.2,24.67,39.6,5.14
92,Pundaguitan,3,PH,1580003272,78,6.37,126.17,82.02,6.42
94,Kailua,75,US,1580003273,74,21.4,-157.74,82.4,10.29
95,Matara,87,LK,1580003273,72,5.95,80.54,78.03,6.2
96,Tiksi,0,RU,1580003015,67,71.69,128.87,-28.1,5.19
97,Novobirilyussy,100,RU,1580003273,92,56.95,90.67,18.23,8.61
98,Thoen,0,TH,1580003273,22,17.61,99.22,79.81,1.1
99,Kodiak,90,US,1580003273,61,57.79,-152.41,17.6,23.04
100,Metu,99,ET,1580003273,60,8.3,35.58,56.62,1.7
101,Yar-Sale,83,RU,1580003273,100,66.83,70.83,-8.99,3.53
102,Cabo San Lucas,40,MX,1580003274,77,22.89,-109.91,70.0,3.36
