,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Coihueco,0,CL,1580003261,42,-36.62,-71.83,80.6,11.41
1,Kruisfontein,89,ZA,1580003261,87,-34.0,24.73,64.71,22.73
2,Martapura,40,ID,1580003161,88,-3.42,114.85,80.6,3.36
3,Alice Springs,0,AU,1580003146,11,-23.7,133.88,91.4,16.11
4,Poum,100,NC,1580003261,82,-20.23,164.02,79.77,21.39
5,Rikitea,0,PF,1580003262,77,-23.12,-134.97,79.11,10.22
8,Vaini,90,TO,1580003262,88,-21.2,-175.2,80.6,12.75
11,Lebu,0,CL,1580003262,85,-37.62,-73.65,61.23,7.78
13,Tuatapere,98,NZ,1580003262,51,-46.13,167.68,65.64,4.76
14,Hobart,75,AU,1580003251,56,-42.88,147.33,72.0,11.41
15,Mahebourg,40,MU,1580003263,78,-20.41,57.7,77.0,14.99
17,Busselton,97,AU,1580003263,32,-33.65,115.33,84.99,5.23
20,Soe,55,ID,1580003263,61,-9.86,124.28,87.78,5.06
21,Mataura,64,NZ,1580003263,58,-46.19,168.86,77.65,0.58
23,Kavieng,48,PG,1580003264,72,-2.57,150.8,84.87,11.7
24,Ushuaia,90,AR,1580003179,81,-54.8,-68.3,46.4,28.86
26,Necochea,0,AR,1580003264,67,-38.55,-58.74,63.0,1.99
30,Saint-Philippe,90,RE,1580003264,78,-21.36,55.77,73.4,9.17
34,Carnarvon,13,AU,1580003265,69,-24.87,113.63,80.6,19.46
36,Mar del Plata,0,AR,1580003265,55,-38.0,-57.56,66.2,11.41
40,Punta Arenas,75,CL,1580003266,66,-53.15,-70.92,50.0,23.04
41,Hermanus,83,ZA,1580003266,98,-34.42,19.23,57.0,8.01
47,Port Alfred,80,ZA,1580003051,98,-33.59,26.89,66.0,7.0
51,Bluff,57,NZ,1580003045,52,-46.6,168.33,66.49,8.52
60,Port Lincoln,32,AU,1580003268,54,-34.73,135.87,74.1,10.18
64,San Jeronimo,98,PE,1580003269,88,-11.95,-75.28,42.26,0.83
66,Bredasdorp,68,ZA,1580003269,72,-34.53,20.04,62.6,9.17
70,New Norfolk,75,AU,1580003270,56,-42.78,147.06,72.0,11.41
75,Samarinda,9,ID,1580003185,53,-0.5,117.15,91.27,3.44
77,Puerto Ayora,54,EC,1580003053,37,-0.74,-90.35,77.0,1.01
79,Aitape,4,PG,1580003271,81,-3.14,142.35,83.5,13.33
84,Grao Mogol,100,BR,1580003271,96,-16.56,-42.89,66.72,7.87
85,Giyani,0,ZA,1580003271,76,-23.3,30.72,70.92,1.43
89,Cape Town,75,ZA,1580003272,93,-33.93,18.42,62.01,9.17
93,Esperance,95,AU,1580003272,53,-33.87,121.9,75.2,6.93
103,Te Anau,100,NZ,1580003274,79,-45.42,167.72,63.37,7.38
104,Gamba,60,GA,1580003270,85,-2.65,10.0,78.03,2.08
105,Saldanha,83,ZA,1580003234,87,-33.01,17.94,60.8,11.41
106,Hithadhoo,100,MV,1580003274,77,-0.6,73.08,82.49,9.75
108,Arraial do Cabo,0,BR,1580003274,82,-22.97,-42.03,75.16,6.76
109,Bambous Virieux,40,MU,1580003274,78,-20.34,57.76,77.0,14.99
113,Cap Malheureux,40,MU,1580003275,78,-19.98,57.61,77.0,14.99
115,Bengkulu,100,ID,1580003275,58,-3.8,102.27,87.44,2.1
116,Walvis Bay,0,NA,1580003275,93,-22.96,14.51,62.01,12.48
120,Faanui,62,PF,1580003276,72,-16.48,-151.75,83.16,8.79
123,Dunedin,0,NZ,1580003203,65,-45.87,170.5,66.99,24.14
125,East London,38,ZA,1580003071,84,-33.02,27.91,73.45,20.69
126,Avarua,100,CK,1580003276,83,-21.21,-159.78,84.2,11.41
127,Grand Gaube,40,MU,1580003277,78,-20.01,57.66,77.0,14.99
130,Hualmay,100,PE,1580003277,71,-11.1,-77.61,74.28,5.99
132,Arauco,0,CL,1580003277,64,-37.25,-73.32,68.0,11.41
133,Roebourne,0,AU,1580003277,18,-20.78,117.13,102.56,1.3
134,Castro,0,BR,1580003277,93,-24.79,-50.01,61.63,2.84
139,Ahipara,94,NZ,1580003278,84,-35.17,173.17,69.64,15.66
142,Cidreira,74,BR,1580003066,68,-30.18,-50.21,75.56,14.32
150,Coyhaique,5,CL,1580003279,45,-45.58,-72.07,62.6,8.05
151,Belmonte,75,BR,1580003280,83,-15.86,-38.88,80.6,10.29
152,Vallenar,0,CL,1580003280,72,-28.57,-70.76,66.06,1.28
153,Tadine,29,NC,1580003280,65,-21.55,167.88,82.54,14.5
154,Atuona,74,PF,1580003280,77,-9.8,-139.03,80.74,13.8
156,Honiara,20,SB,1580003280,62,-9.43,159.95,89.6,6.93
157,Alofi,22,NU,1580003069,79,-19.06,-169.92,84.2,9.17
163,Guapore,0,BR,1580003149,59,-28.85,-51.89,71.01,2.86
164,Touros,75,BR,1580003281,83,-5.2,-35.46,80.6,4.7
167,Santa Maria,0,BR,1580003282,73,-29.68,-53.81,73.4,2.24
168,Padang,93,ID,1580003282,87,-0.95,100.35,77.05,1.16
176,Natal,40,BR,1580003283,83,-5.79,-35.21,82.4,9.17
177,Prainha,99,BR,1580003283,97,-1.8,-53.48,74.55,1.88
179,Kalianget,15,ID,1580003283,68,-7.05,113.93,85.71,6.8
180,Huarmey,100,PE,1580003283,62,-10.07,-78.15,76.44,4.16
182,Majene,29,ID,1580003283,78,-3.54,118.97,83.55,2.04
184,Mbekenyera,99,TZ,1580003284,97,-10.0,38.98,68.61,2.26
191,Airai,48,TL,1580003074,63,-8.93,125.41,82.2,3.29
192,Flinders,40,AU,1580003285,49,-34.58,150.86,99.0,9.17
199,Mossamedes,69,AO,1580003106,74,-15.2,12.15,74.68,12.53
200,Broken Hill,0,AU,1580003286,21,-31.95,141.43,84.2,13.87
202,Lorengau,85,PG,1580003286,71,-2.02,147.27,84.22,6.04
207,Vila Velha,75,BR,1580003182,94,-20.33,-40.29,71.6,4.7
213,Pitimbu,20,BR,1580003287,88,-7.47,-34.81,80.6,6.93
219,Presidencia Roque Saenz Pena,0,AR,1580003288,48,-26.79,-60.44,75.47,3.49
223,Port Elizabeth,75,ZA,1580003288,94,-33.92,25.57,68.0,17.22
225,Port-Gentil,2,GA,1580003289,79,-0.72,8.78,83.1,11.14
227,Codrington,100,AU,1580003289,78,-38.27,141.97,61.56,20.42
233,Chui,3,UY,1580003290,80,-33.7,-53.46,65.59,5.46
243,Santa Vitoria do Palmar,3,BR,1580003291,80,-33.52,-53.37,65.59,5.46
244,Pontal do Parana,20,BR,1580003292,93,-25.65,-48.51,75.99,4.7
253,Rocha,0,UY,1580003186,78,-34.48,-54.33,60.19,4.52
254,Puerto Baquerizo Moreno,32,EC,1580003293,85,-0.9,-89.6,77.0,13.49
259,Constitucion,0,CL,1580003293,67,-35.33,-72.42,63.21,5.7
263,Kaitangata,5,NZ,1580003070,65,-46.28,169.85,66.99,10.45
269,Rio Grande,83,BR,1580003295,91,-32.03,-52.1,71.01,7.47
280,Howard Springs,20,AU,1580003296,62,-12.5,131.05,95.0,12.75
282,Mudgee,75,AU,1580003296,51,-32.59,149.59,88.0,8.05
286,Saint-Pierre,90,RE,1580003297,78,-21.34,55.48,73.4,9.17
291,Sechura,100,PE,1580003298,86,-5.56,-80.82,74.41,9.78
292,Lodja,100,CD,1580003298,69,-3.48,23.43,70.84,2.33
295,Anori,100,BR,1580003298,99,-3.77,-61.64,73.42,2.19
302,Port Macquarie,32,AU,1580003299,52,-31.43,152.92,98.01,9.17
312,Aripuana,100,BR,1580003300,97,-9.17,-60.63,74.91,0.51
314,Isangel,75,VU,1580003300,78,-19.55,169.27,80.6,6.93
315,Dutlwe,48,BW,1580003301,66,-23.98,23.9,71.6,9.69
